"","Gene.symbol","Log2FoldChange","ENTREZID"
"695","ZNF608",1.717786685,"57507"
"696","MORN2",1.717306749,"729967"
"697","TUBGCP4",1.716330231,"27229"
"698","FER",1.715050449,"2241"
"699","FRMD3",1.713156875,"257019"
"700","DYNC1LI2",1.712755719,"1783"
"701","RFC2",1.712657106,"5982"
"702","TC2N",1.712626519,"123036"
"703","MOB1A",1.712252713,"55233"
"704","KIF2A",1.710081785,"3796"
"705","TFF2",1.707530596,"7032"
"706","NR2C2",1.707345708,"7182"
"707","ZNF385B",1.706524117,"151126"
"708","NINJ2-AS1",1.706339548,"100049716"
"709","PCCA",1.706074408,"5095"
"710","GLIS3",1.703325708,"169792"
"711","PAXIP1",1.703322549,"22976"
"712","SDCBP2-AS1",1.702170693,"100507495"
"713","SPRED1",1.701541647,"161742"
"714","COLEC12",1.701107964,"81035"
"715","C12orf76",1.700295489,"400073"
"716","NIPSNAP3A",1.699380619,"25934"
"717","RIOX2",1.697114806,"84864"
"718","PRPSAP2",1.696256349,"5636"
"719","IL15",1.695434211,"3600"
"720","ITFG1",1.695039878,"81533"
"721","LRRC37A2",1.690523547,"474170"
"722","LRRC37A",1.690523547,"9884"
"723","H4C15",1.69032884,"554313"
"724","H4C14",1.69032884,"8370"
"725","ODF2L",1.690214404,"57489"
"726","XRCC5",1.689511614,"7520"
"727","FAM162B",1.689501133,"221303"
"728","RGS14",1.687535187,"10636"
"729","SLC3A2",1.686684655,"6520"
"730","RPEL1",1.686299983,"729020"
"731","LGALS14",1.685559761,"56891"
"732","ELOVL7",1.685142044,"79993"
"733","SLC50A1",1.682938199,"55974"
"734","OXA1L",1.682600048,"5018"
"735","GCNT1",1.682387807,"2650"
"736","ACOT2",1.682133188,"10965"
"737","ACOT1",1.682133188,"641371"
"738","CASP6",1.681353276,"839"
"739","BNIP3",1.681273698,"664"
"740","DUSP5",1.680404275,"1847"
"741","CASP3",1.680181066,"836"
"742","TMEM243",1.679664564,"79161"
"743","SCG3",1.6790991,"29106"
"744","FEN1",1.679066928,"2237"
"745","NTS",1.677856878,"4922"
"746","UQCR10",1.677444327,"29796"
"747","CDC40",1.675916226,"51362"
"748","PTH2",1.67589422,"113091"
"749","CLK3",1.674774851,"1198"
"750","TTLL1",1.674026274,"25809"
"751","REL",1.67293478,"5966"
"752","ZNF528",1.672497165,"84436"
"753","SECISBP2",1.672393194,"79048"
"754","VTI1B",1.671195203,"10490"
"755","CENPA",1.670613517,"1058"
"756","SPAG1",1.669961668,"6674"
"757","RAD51C",1.669147667,"5889"
"758","PTS",1.668740806,"5805"
"759","DUS4L",1.66828386,"11062"
"760","HCG11",1.667449877,"493812"
"761","RBP2",1.664284689,"5948"
"762","MFAP2",1.664263176,"4237"
"763","BOLA1",1.6624716,"51027"
"764","KDELR1",1.661749005,"10945"
"765","MRFAP1L1",1.661543461,"114932"
"766","TFF1",1.659273859,"7031"
"767","SORD",1.659101333,"6652"
"768","PRKCD",1.658804702,"5580"
"769","TOR1AIP1",1.657390656,"26092"
"770","TARS2",1.657341215,"80222"
"771","GCLM",1.654967115,"2730"
"772","DMKN",1.65466349,"93099"
"773","AQP3",1.654213619,"360"
"774","POT1",1.653782688,"25913"
"775","TRAPPC6B",1.65343389,"122553"
"776","CYP20A1",1.652526893,"57404"
"777","RAB3B",1.652144754,"5865"
"778","C12orf60",1.651104187,"144608"
"779","IMPACT",1.649626982,"55364"
"780","MNAT1",1.648881882,"4331"
"781","DRAM2",1.648688255,"128338"
"782","TDRD7",1.64857219,"23424"
"783","UGP2",1.648434949,"7360"
"784","ERGIC3",1.647816194,"51614"
"785","PRELID3B",1.646774436,"51012"
"786","HCST",1.64656412,"10870"
"787","DDX50",1.646540452,"79009"
"788","SRI",1.646173154,"6717"
"789","ID4",1.645658431,"3400"
"790","SERINC1",1.644201493,"57515"
"791","METTL2A",1.644191223,"339175"
"792","DHRS4",1.643288785,"10901"
"793","DHRS4L2",1.643288785,"317749"
"794","DHRS4",1.643288785,"10901"
"795","CELSR3",1.643057867,"1951"
"796","AK3",1.64292245,"50808"
"797","VIRMA",1.641694074,"25962"
"798","MED21",1.639945562,"9412"
"799","CLDN7",1.639941603,"1366"
"800","THAP2",1.639705577,"83591"
"801","CXADR",1.639221919,"1525"
"802","AURKB",1.638953257,"9212"
"803","ADAM23",1.638285338,"8745"
"804","PSMA3",1.638064709,"5684"
"805","GPC4",1.637503211,"2239"
"806","MRPL42",1.637432607,"28977"
"807","LRRC31",1.636331487,"79782"
"808","PABIR1",1.633007615,"116224"
"809","FBXO25",1.632937992,"26260"
"810","PLEKHH2",1.632857464,"130271"
"811","CENPH",1.632741601,"64946"
"812","SPTLC3",1.632671255,"55304"
"813","RAB17",1.632491074,"64284"
"814","PGGT1B",1.632022383,"5229"
"815","PTER",1.631585443,"9317"
"816","PRPF38A",1.630160462,"84950"
"817","H1-2",1.630054428,"3006"
"818","RNF19A",1.629281513,"25897"
"819","DCLRE1A",1.628326479,"9937"
"820","ZNF197",1.628088343,"10168"
"821","ZNF197",1.628088343,"10168"
"822","CAMTA2",1.625867127,"23125"
"823","CPEB2",1.624367938,"132864"
"824","ZNF516",1.623942453,"9658"
"825","MAPKAPK5",1.623270455,"8550"
"826","PCCB",1.622848898,"5096"
"827","EMC4",1.622457295,"51234"
"828","NSFL1C",1.622212499,"55968"
"829","GALNT13",1.62085145,"114805"
"830","PEMT",1.62038548,"10400"
"831","ERCC3",1.618190523,"2071"
"832","CDKN2D",1.617500252,"1032"
"833","FLOT1",1.617142015,"10211"
"834","PIGA",1.615189094,"5277"
"835","CCDC115",1.615018177,"84317"
"836","CRYBB2",1.614589404,"1415"
"837","FOS",1.61419002,"2353"
"838","GALR2",1.614135353,"8811"
"839","NTAQ1",1.612699936,"55093"
"840","HLA-DMB",1.612429528,"3109"
"841","BBS2",1.61137321,"583"
"842","CHEK2",1.611025409,"11200"
"843","SH3BGRL2",1.610599155,"83699"
"844","MIF4GD",1.609324426,"57409"
"845","OMA1",1.609215813,"115209"
"846","CRNDE",1.608612593,"643911"
"847","ZDHHC4",1.608107954,"55146"
"848","CAMSAP3",1.608012112,"57662"
"849","PREPL",1.607905057,"9581"
"850","ZNF217",1.607342662,"7764"
"851","TMEM59",1.606515551,"9528"
"852","TFDP1",1.605956635,"7027"
"853","TPK1",1.605854994,"27010"
"854","HPRT1",1.605386057,"3251"
"855","SEC24B",1.603104073,"10427"
"856","ODR4",1.601694351,"54953"
"857","ZNF165",1.601223869,"7718"
"858","PNPLA3",1.600540677,"80339"
"859","ZNF566",1.600524635,"84924"
"860","HABP4",1.600106692,"22927"
"861","PLAC1",1.599315003,"10761"
"862","DCPS",1.59758315,"28960"
"863","AKAP7",1.597281663,"9465"
"864","PCBP1",1.597172631,"5093"
"865","PAG1",1.596394771,"55824"
"866","HOOK3",1.596016155,"84376"
"867","ILF2",1.595491572,"3608"
"868","CLEC2L",1.595397178,"154790"
"869","TMPRSS6",1.594703781,"164656"
"870","ZNF124",1.594378811,"7678"
"871","GPBP1L1",1.592752186,"60313"
"872","SLC1A5",1.592473141,"6510"
"873","CAPNS1",1.592108786,"826"
"874","USP32",1.59192331,"84669"
"875","LIG4",1.590793379,"3981"
"876","POGLUT2",1.589977798,"79070"
"877","INTS13",1.589747186,"55726"
"878","PDCD10",1.588177921,"11235"
"879","SLCO1B3",1.587717889,"28234"
"880","BSG",1.587406992,"682"
"881","MIEN1",1.584720134,"84299"
"882","TP53BP2",1.584442016,"7159"
"883","ERCC4",1.583785467,"2072"
"884","HMGCS2",1.583542391,"3158"
"885","ZFP37",1.581411919,"7539"
"886","FZD5",1.580986982,"7855"
"887","FAM47E-STBD1",1.578946578,"100631383"
"888","STBD1",1.578946578,"8987"
"889","GALNT5",1.578565541,"11227"
"890","ZCCHC9",1.577831146,"84240"
"891","FKBP14",1.573747065,"55033"
"892","STXBP5",1.572988533,"134957"
"893","ZNF195",1.571940159,"7748"
"894","DHRS7",1.57079504,"51635"
"895","PDCL3",1.570621102,"79031"
"896","RAB3C",1.569494044,"115827"
"897","PTPN4",1.569380857,"5775"
"898","SLC35A3",1.567914188,"23443"
"899","NOP53",1.567830808,"29997"
"900","ARL16",1.567679199,"339231"
"901","MOGAT3",1.565246218,"346606"
"902","GHRL",1.565187775,"51738"
"903","PYURF",1.564847151,"100996939"
"904","ACOX2",1.564247326,"8309"
"905","NPC2",1.563720134,"10577"
"906","NDUFS1",1.563199622,"4719"
"907","SULT1A4",1.562652,"445329"
"908","SULT1A3",1.562652,"6818"
"909","BPHL",1.562181476,"670"
"910","PKD2",1.561959215,"5311"
"911","DEPDC7",1.561490257,"91614"
"912","TM7SF2",1.56109321,"7108"
"913","NHEJ1",1.559515742,"79840"
"914","SHCBP1",1.55703882,"79801"
"915","NHLRC3",1.556662588,"387921"
"916","DNPH1",1.555168207,"10591"
"917","TRAF4",1.55333177,"9618"
"918","ZNRF2",1.552604683,"223082"
"919","MAT2A",1.551003068,"4144"
"920","PLCL2",1.549514175,"23228"
"921","TSR1",1.549403256,"55720"
"922","PSMD13",1.549099076,"5719"
"923","RNF183",1.549012577,"138065"
"924","SAMD8",1.548678429,"142891"
"925","ACOT8",1.548486702,"10005"
"926","ITPRID2",1.546989117,"6744"
"927","ASB3",1.546762635,"51130"
"928","ASB3",1.546762635,"51130"
"929","IKBIP",1.54575173,"121457"
"930","TYW1",1.543680753,"55253"
"931","RBBP5",1.543605303,"5929"
"932","MOCS2",1.542130344,"4338"
"933","DCBLD2",1.541994325,"131566"
"934","COMMD3",1.539441081,"23412"
"935","EXT1",1.538962938,"2131"
"936","CGRRF1",1.538625348,"10668"
"937","GSDMB",1.537425744,"55876"
"938","PSMA4",1.5373379,"5685"
"939","VPS29",1.537005286,"51699"
"940","MRPS7",1.535357787,"51081"
"941","AKR1C3",1.5345195,"8644"
"942","FCGRT",1.533612267,"2217"
"943","KAT2B",1.532889722,"8850"
"944","STN1",1.532860388,"79991"
"945","SYBU",1.532693851,"55638"
"946","DPM2",1.532586689,"8818"
"947","RABAC1",1.529862196,"10567"
"948","CD3D",1.528999252,"915"
"949","C18orf32",1.528752271,"497661"
"950","CD59",1.528578993,"966"
"951","OSGEPL1",1.528517882,"64172"
"952","NSMCE2",1.528305019,"286053"
"953","SEC22B",1.528116481,"9554"
"954","MRPL13",1.528050466,"28998"
"955","KIF23",1.527848808,"9493"
"956","TAF1A",1.526930927,"9015"
"957","UCN3",1.526632432,"114131"
"958","KRR1",1.526479384,"11103"
"959","ACVR1",1.526285494,"90"
"960","SLC7A7",1.526170882,"9056"
"961","RNF25",1.526145771,"64320"
"962","WASHC3",1.526136209,"51019"
"963","BAG1",1.524436083,"573"
"964","TMOD3",1.523177083,"29766"
"965","TMOD3",1.523177083,"29766"
"966","ARMCX2",1.522603859,"9823"
"967","GALM",1.522420422,"130589"
"968","SNX6",1.521110886,"58533"
"969","FAM221A",1.519968872,"340277"
"970","TMC7",1.519919963,"79905"
"971","GFPT1",1.519429369,"2673"
"972","OSTM1",1.519318003,"28962"
"973","BLOC1S4",1.51901095,"55330"
"974","PEX12",1.518062785,"5193"
"975","CHGB",1.517810942,"1114"
"976","ZNF780A",1.517560977,"284323"
"977","RAB11FIP3",1.514969234,"9727"
"978","DOCK7",1.514439595,"85440"
"979","LSM14B",1.514335351,"149986"
"980","OXLD1",1.513709432,"339229"
"981","ANO6",1.513554023,"196527"
"982","AP3B1",1.513054072,"8546"
"983","HPN",1.512922877,"3249"
"984","SLAIN1",1.511584311,"122060"
"985","HAT1",1.510939528,"8520"
"986","SCFD1",1.510254103,"23256"
"987","PCMTD2",1.509992399,"55251"
"988","SMIM14",1.509121972,"201895"
"989","SEMA3A",1.50827535,"10371"
"990","SPOPL",1.505742335,"339745"
"991","HEPACAM2",1.504704264,"253012"
"992","FBXL4",1.501165261,"26235"
"993","TMEM60",1.50083283,"85025"
"994","STX10",1.500070783,"8677"
"995","NPNT",1.500052967,"255743"
"996","LINC00173",1.498455923,"100287569"
"997","CBLL1",1.498089854,"79872"
"998","UBR3",1.497556659,"130507"
"999","VAMP4",1.49640325,"8674"
"1000","CAP2",1.496130319,"10486"
"1001","TBCEL",1.495536148,"219899"
"1002","APPL2",1.495395738,"55198"
"1003","PTENP1",1.492630278,"11191"
"1004","SEC11C",1.492482311,"90701"
"1005","NFS1",1.491352069,"9054"
"1006","EIF3M",1.491226328,"10480"
"1007","ETAA1",1.490986012,"54465"
"1008","WDSUB1",1.490966224,"151525"
"1009","FRMD4B",1.490149161,"23150"
"1010","TFG",1.489410356,"10342"
"1011","PDE12",1.489162787,"201626"
"1012","TM6SF2",1.488729795,"53345"
"1013","DCAF16",1.488521819,"54876"
"1014","BPNT1",1.486662654,"10380"
"1015","PLSCR1",1.486243294,"5359"
"1016","BAG4",1.485229652,"9530"
"1017","EEFSEC",1.484917151,"60678"
"1018","NCEH1",1.484443631,"57552"
"1019","USP46",1.484367779,"64854"
"1020","EXOSC5",1.483710444,"56915"
"1021","SNX7",1.483436887,"51375"
"1022","PEX3",1.482670784,"8504"
"1023","SPTY2D1",1.482623548,"144108"
"1024","DNAJC7",1.479709472,"7266"
"1025","GABRG1",1.478889461,"2565"
"1026","ATP23",1.477737356,"91419"
"1027","TMEM176A",1.477643664,"55365"
"1028","FAM3C",1.477444748,"10447"
"1029","CD44",1.474728784,"960"
"1030","FZD6",1.474463299,"8323"
"1031","PSME1",1.474191884,"5720"
"1032","DCTN6",1.474155501,"10671"
"1033","NRBP1",1.474053425,"29959"
"1034","MOB2",1.473317017,"81532"
"1035","ANXA4",1.472700487,"307"
"1036","TIMM50",1.472333633,"92609"
"1037","EXOC2",1.471353947,"55770"
"1038","PEX16",1.471196636,"9409"
"1039","FXN",1.471178126,"2395"
"1040","PARP14",1.470803212,"54625"
"1041","DHX40",1.47026691,"79665"
"1042","NUDT16",1.470186887,"131870"
"1043","TADA1",1.469863889,"117143"
"1044","ARMCX1",1.46963842,"51309"
"1045","FMO4",1.468149321,"2329"
"1046","PNO1",1.468052706,"56902"
"1047","SDHAF4",1.466079037,"135154"
"1048","MAD1L1",1.465063345,"8379"
"1049","CNOT10",1.463799785,"25904"
"1050","RAB21",1.462485924,"23011"
"1051","GPATCH2",1.462474419,"55105"
"1052","EFL1",1.459516801,"79631"
"1053","KDM3A",1.458445658,"55818"
"1054","ELP2",1.457206652,"55250"
"1055","FMOD",1.457034772,"2331"
"1056","ZNF420",1.456990301,"147923"
"1057","WDR89",1.456782898,"112840"
"1058","GET3",1.456395871,"439"
"1059","OAS3",1.456116868,"4940"
"1060","AVL9",1.4555694,"23080"
"1061","PCBD1",1.454851787,"5092"
"1062","PRDX2",1.454600657,"7001"
"1063","NUDT12",1.45434521,"83594"
"1064","NDUFAF3",1.453685462,"25915"
"1065","MCRS1",1.452543461,"10445"
"1066","STK26",1.452211086,"51765"
"1067","RUVBL1",1.450688047,"8607"
"1068","RANBP2",1.449583655,"5903"
"1069","NCAPD2",1.449457424,"9918"
"1070","RETREG1",1.447835983,"54463"
"1071","CEP19",1.446307903,"84984"
"1072","STX4",1.445901135,"6810"
"1073","CYP4F2",1.445176071,"8529"
"1074","PRXL2C",1.444778713,"195827"
"1075","GET1",1.444713328,"7485"
"1076","AIFM1",1.444312148,"9131"
"1077","NARS2",1.444150462,"79731"
"1078","SLC9B2",1.443072396,"133308"
"1079","RFXANK",1.442236716,"8625"
"1080","SNHG7",1.442174983,"84973"
"1081","USP28",1.439814793,"57646"
"1082","ZBED9",1.439668489,"114821"
"1083","CDK5RAP2",1.438911904,"55755"
"1084","SECTM1",1.438334011,"6398"
"1085","LTA4H",1.436777705,"4048"
"1086","RASSF8",1.436704553,"11228"
"1087","GCNT2",1.436442247,"2651"
"1088","PPARG",1.435584027,"5468"
"1089","TNFSF10",1.435543588,"8743"
"1090","TMEM178B",1.435236813,"100507421"
"1091","PPP4C",1.434247546,"5531"
"1092","SART3",1.433663366,"9733"
"1093","XIST",1.432183053,"7503"
"1094","ELAPOR2",1.432170892,"222223"
"1095","CCDC6",1.431300973,"8030"
"1096","HSD17B6",1.431259149,"8630"
"1097","PSMB8",1.43025274,"5696"
"1098","TMEM63A",1.429051691,"9725"
"1099","LEAP2",1.428822274,"116842"
"1100","TGIF1",1.428345422,"7050"
"1101","SIAH2",1.428198397,"6478"
"1102","TM9SF2",1.427384699,"9375"
"1103","RAB9A",1.427009722,"9367"
"1104","PGM2L1",1.42698473,"283209"
"1105","NUDCD2",1.426863237,"134492"
"1106","SHC1",1.426771605,"6464"
"1107","NCKAP5",1.425388774,"344148"
"1108","H2BC21",1.425211011,"8349"
"1109","PFN1",1.424055407,"5216"
"1110","KRT222",1.422843525,"125113"
"1111","FBXO2",1.422050851,"26232"
"1112","LHFPL2",1.421373023,"10184"
"1113","FANCD2",1.421151148,"2177"
"1114","DIO1",1.420806233,"1733"
"1115","RBM11",1.420573748,"54033"
"1116","DUS4L-BCAP29",1.420517789,"115253422"
"1117","BCAP29",1.420517789,"55973"
"1118","CNKSR3",1.420449697,"154043"
"1119","HEBP1",1.419686373,"50865"
"1120","C2orf74",1.419596672,"339804"
"1121","ENPP3",1.41892987,"5169"
"1122","MALT1",1.418852298,"10892"
"1123","KLHL8",1.418772489,"57563"
"1124","STX2",1.418664514,"2054"
"1125","TMEM17",1.417697067,"200728"
"1126","ONECUT1",1.417053654,"3175"
"1127","SUCLG2",1.416902071,"8801"
"1128","FIBIN",1.416860375,"387758"
"1129","ABCD3",1.415123027,"5825"
"1130","ANKRD1",1.413361009,"27063"
"1131","WDR75",1.412954356,"84128"
"1132","RBM3",1.411499515,"5935"
"1133","SIMC1",1.411275049,"375484"
"1134","GLRB",1.411161081,"2743"
"1135","SUPT4H1",1.411050148,"6827"
"1136","CENPQ",1.410950593,"55166"
"1137","SCN4B",1.410007142,"6330"
"1138","PRRC1",1.409927466,"133619"
"1139","ISCA2",1.409407676,"122961"
"1140","HYLS1",1.409100431,"219844"
"1141","TMEM87B",1.408693072,"84910"
"1142","SLC6A17",1.405822765,"388662"
"1143","NMI",1.405753591,"9111"
"1144","MAVS",1.404103222,"57506"
"1145","DYDC2",1.402286428,"84332"
"1146","WASF3",1.401503705,"10810"
"1147","DCXR",1.400888073,"51181"
"1148","PPP3CC",1.399917037,"5533"
"1149","PPP1R8",1.399004038,"5511"
"1150","NFATC2IP",1.39872476,"84901"
"1151","CCDC159",1.398450686,"126075"
"1152","CDC42SE1",1.398250799,"56882"
"1153","TARS3",1.398096676,"123283"
"1154","MIR3917",1.397743846,"100500808"
"1155","HNRNPH3",1.397330051,"3189"
"1156","NETO2",1.397110779,"81831"
"1157","ANKRD37",1.396544814,"353322"
"1158","IL7",1.396258434,"3574"
"1159","TSR3",1.395316465,"115939"
"1160","ZNF559",1.395106448,"84527"
"1161","ECI2",1.394465513,"10455"
"1162","ZBTB25",1.393877339,"7597"
"1163","SLC25A43",1.393826457,"203427"
"1164","VPS26C",1.39375278,"10311"
"1165","HDHD3",1.393308627,"81932"
"1166","LZIC",1.392498905,"84328"
"1167","CCDC43",1.392457745,"124808"
"1168","RINT1",1.391924766,"60561"
"1169","ADGRG6",1.391850204,"57211"
"1170","LRIG2",1.391840663,"9860"
"1171","MBL2",1.391773087,"4153"
"1172","EIF6",1.391447779,"3692"
"1173","MRPL2",1.391420141,"51069"
"1174","IDH3A",1.390751125,"3419"
"1175","MRPL30",1.390237033,"51263"
"1176","DHX29",1.390204971,"54505"
"1177","AREG",1.389041902,"374"
"1178","SMIM10",1.388909187,"644538"
"1179","METTL14",1.388027175,"57721"
"1180","EMC6",1.38798051,"83460"
"1181","MYPN",1.38735478,"84665"
"1182","LRRC58",1.386853336,"116064"
"1183","LAP3",1.386829699,"51056"
"1184","BLMH",1.38650375,"642"
"1185","LCORL",1.385119699,"254251"
"1186","DYRK4",1.38501432,"8798"
"1187","SLC12A2",1.384949798,"6558"
"1188","CITED2",1.384022299,"10370"
"1189","DCAF11",1.38382369,"80344"
"1190","BYSL",1.382824099,"705"
"1191","RPAP3",1.382058433,"79657"
"1192","PMPCA",1.381342868,"23203"
"1193","EIF1AD",1.381026266,"84285"
"1194","PRDM1",1.380461688,"639"
"1195","GASK1B",1.379196128,"51313"
"1196","ARL2",1.37802636,"402"
"1197","ZNF571",1.377619911,"51276"
"1198","KIFAP3",1.377610969,"22920"
"1199","TMEM30B",1.377312974,"161291"
"1200","OTUD1",1.374472414,"220213"
"1201","ZNF140",1.373104515,"7699"
"1202","C11orf58",1.372936665,"10944"
"1203","KIFBP",1.372208207,"26128"
"1204","TMEM131L",1.372127744,"23240"
"1205","ARG1",1.371443019,"383"
"1206","CDK5",1.371283937,"1020"
"1207","PRR7",1.370218865,"80758"
"1208","BABAM1",1.370201485,"29086"
"1209","TMEM260",1.370100434,"54916"
"1210","LINC00869",1.369960221,"57234"
"1211","LINC00869",1.369960221,"57234"
"1212","YIPF4",1.369643468,"84272"
"1213","TEN1",1.369557666,"100134934"
"1214","MLIP",1.369217276,"90523"
"1215","RANBP1",1.368713167,"5902"
"1216","NFE2L2",1.368273598,"4780"
"1217","KLB",1.367995009,"152831"
"1218","SERPINB6",1.367697713,"5269"
"1219","RAB39B",1.367458131,"116442"
"1220","EDEM1",1.365254221,"9695"
"1221","HFM1",1.365161062,"164045"
"1222","MCUB",1.363597383,"55013"
"1223","TTTY11",1.363298308,"83866"
"1224","RPS27L",1.361909926,"51065"
"1225","TBC1D32",1.361804488,"221322"
"1226","FBXL2",1.361600696,"25827"
"1227","FZD7",1.361592188,"8324"
"1228","ZG16",1.361062129,"653808"
"1229","C8orf74",1.360651409,"203076"
"1230","RALGPS2",1.358149737,"55103"
"1231","DOCK1",1.358132415,"1793"
"1232","CTR9",1.357724705,"9646"
"1233","POLR2K",1.355602814,"5440"
"1234","SF3B6",1.35545555,"51639"
"1235","LYSMD2",1.354167591,"256586"
"1236","MITD1",1.353669568,"129531"
"1237","NDUFV3",1.353482056,"4731"
"1238","LINC00324",1.352629582,"284029"
"1239","TGIF2-RAB5IF",1.35183177,"100527943"
"1240","GPS1",1.351711986,"2873"
"1241","WWC2",1.351654636,"80014"
"1242","CWF19L1",1.351529428,"55280"
"1243","NBPF10",1.350862636,"100132406"
"1244","NBPF20",1.350862636,"100288142"
"1245","NBPF19",1.350862636,"101060226"
"1246","NBPF14",1.350862636,"25832"
"1247","NBPF8",1.350862636,"728841"
"1248","UTP4",1.350740895,"84916"
"1249","ORM1",1.350229534,"5004"
"1250","TRMT61B",1.349732713,"55006"
"1251","RNH1",1.349451443,"6050"
"1252","ULK1",1.34929441,"8408"
"1253","CDA",1.349045578,"978"
"1254","HEATR6",1.348752541,"63897"
"1255","PIAS2",1.348508939,"9063"
"1256","PIPOX",1.347577973,"51268"
"1257","FGD4",1.347222795,"121512"
"1258","GABPA",1.347110282,"2551"
"1259","BCL2L14",1.346960821,"79370"
"1260","UHRF2",1.346509409,"115426"
"1261","GPHN",1.345846968,"10243"
"1262","RAD54B",1.345743684,"25788"
"1263","LINC02790",1.345733488,"102723661"
"1264","ZNF567",1.345721095,"163081"
"1265","NGLY1",1.345112636,"55768"
"1266","TLCD4",1.343067292,"148534"
"1267","OXNAD1",1.342818918,"92106"
"1268","SMPDL3A",1.342713968,"10924"
"1269","IGF2",1.342650542,"3481"
"1270","INS-IGF2",1.342650542,"723961"
"1271","GCNT3",1.342524689,"9245"
"1272","RBBP7",1.342424396,"5931"
"1273","CCNDBP1",1.342128997,"23582"
"1274","ASH2L",1.341773741,"9070"
"1275","TFB2M",1.341732357,"64216"
"1276","ANKLE1",1.341194166,"126549"
"1277","SBF2-AS1",1.339512706,"283104"
"1278","BAD",1.339262083,"572"
"1279","PLAAT4",1.339014066,"5920"
"1280","LSM10",1.338519852,"84967"
"1281","TMEM131",1.337401331,"23505"
"1282","GPRC5D-AS1",1.337334042,"100506314"
"1283","CTTNBP2NL",1.337192715,"55917"
"1284","SKP2",1.336785911,"6502"
"1285","LPCAT1",1.336532149,"79888"
"1286","TDO2",1.336041414,"6999"
"1287","EBP",1.335796051,"10682"
"1288","ANKRD17",1.335592193,"26057"
"1289","IGFBP1",1.333905727,"3484"
"1290","C14orf119",1.332908575,"55017"
"1291","MPHOSPH10",1.332856827,"10199"
"1292","AMZ2",1.33278873,"51321"
"1293","TXNDC16",1.332441655,"57544"
"1294","NCKAP1L",1.332174666,"3071"
"1295","AKR7A2",1.331942448,"8574"
"1296","CMTM8",1.331406223,"152189"
"1297","IFT43",1.330646923,"112752"
"1298","RNF213",1.330630343,"57674"
"1299","SDHAF3",1.330468521,"57001"
"1300","ABHD14A-ACY1",1.330075137,"100526760"
"1301","ACY1",1.330075137,"95"
"1302","LITAF",1.329233639,"9516"
"1303","PITRM1",1.328220318,"10531"
"1304","CLIC4",1.327889745,"25932"
"1305","CD151",1.327323129,"977"
"1306","LINC02401",1.326729297,"101929084"
"1307","RAB32",1.325820215,"10981"
"1308","SMC6",1.325777931,"79677"
"1309","CTSA",1.325259194,"5476"
"1310","CNGA1",1.324983291,"1259"
"1311","IFT46",1.324882175,"56912"
"1312","SMAD5",1.324594255,"4090"
"1313","TNFRSF12A",1.324462261,"51330"
"1314","MPDZ",1.324350014,"8777"
"1315","MIDEAS",1.32424112,"91748"
"1316","SHFL",1.323812029,"55337"
"1317","BICRAL",1.323670297,"23506"
"1318","MYORG",1.323295256,"57462"
"1319","POP5",1.323087077,"51367"
"1320","PCDHB8",1.322285566,"56128"
"1321","NDC1",1.321480778,"55706"
"1322","CA13",1.321095123,"377677"
"1323","NAA20",1.319743114,"51126"
"1324","TMEM167B",1.318613304,"56900"
"1325","C18orf21",1.318514691,"83608"
"1326","MFAP3",1.318457527,"4238"
"1327","ARHGAP12",1.318385077,"94134"
"1328","FAXC",1.318351342,"84553"
"1329","HSCB",1.318269828,"150274"
"1330","CLPTM1L",1.316412828,"81037"
"1331","ADSS2",1.31634809,"159"
"1332","TRIB1",1.315542901,"10221"
"1333","PAFAH2",1.314708694,"5051"
"1334","FKBP4",1.313197306,"2288"
"1335","GPX2",1.311053065,"2877"
"1336","TRAPPC8",1.311040884,"22878"
"1337","DYM",1.31006426,"54808"
"1338","CALCB",1.309902546,"797"
"1339","ARFIP1",1.309636403,"27236"
"1340","WASF2",1.309244967,"10163"
"1341","PHF2",1.308559196,"5253"
"1342","MMGT1",1.308520843,"93380"
"1343","CNBP",1.308123048,"7555"
"1344","BIRC6",1.307657613,"57448"
"1345","CRISPLD1",1.307171857,"83690"
"1346","TRAPPC10",1.303413304,"7109"
"1347","IMMT",1.302305126,"10989"
"1348","DDX43",1.302124406,"55510"
"1349","SH3BGR",1.300881621,"6450"
"1350","FAM133B",1.300732098,"257415"
"1351","H2AC18",1.299533429,"8337"
"1352","ZNF83",1.299459959,"55769"
"1353","MRPL48",1.299334611,"51642"
"1354","C7orf31",1.299061341,"136895"
"1355","THAP1",1.298635078,"55145"
"1356","ZNF514",1.298482717,"84874"
"1357","VDAC2",1.297304563,"7417"
"1358","JPT2",1.297003294,"90861"
"1359","FMO5",1.296944236,"2330"
"1360","ZNF682",1.296848777,"91120"
"1361","SYNGR2",1.296540555,"9144"
"1362","SYN3",1.296207369,"8224"
"1363","OSGEP",1.295196861,"55644"
"1364","TUBD1",1.294962921,"51174"
"1365","SELENOS",1.294914637,"55829"
"1366","AGAP1",1.294876956,"116987"
"1367","FIS1",1.294536186,"51024"
"1368","ELF3",1.293279125,"1999"
"1369","DCAF4L1",1.293189328,"285429"
"1370","KIAA1549",1.293139062,"57670"
"1371","SLC25A39",1.293076258,"51629"
"1372","UBE2L6",1.293011416,"9246"
"1373","MAGI2-AS3",1.292544273,"100505881"
"1374","SUN5",1.291881551,"140732"
"1375","SNX10",1.29097793,"29887"
