"","Gene.symbol","Log2FoldChange","ENTREZID"
"161","BAX",2.794062912,"581"
"162","KLF4",2.788122842,"9314"
"163","GON7",2.779512246,"84520"
"164","PRKAB2",2.778357154,"5565"
"165","LYRM2",2.776027966,"57226"
"166","STARD10",2.77153434,"10809"
"167","ADAMTS1",2.760684189,"9510"
"168","PCYOX1",2.758152565,"51449"
"169","RASL11A",2.756884332,"387496"
"170","NPPB",2.755836311,"4879"
"171","AP1AR",2.74800675,"55435"
"172","CD46",2.746567302,"4179"
"173","H2BC7",2.741738368,"8343"
"174","GTF2H2",2.741310764,"2966"
"175","P2RX4",2.738792659,"5025"
"176","FXYD3",2.73524878,"5349"
"177","PPP1R16A",2.734155672,"84988"
"178","H2BC5",2.707953992,"3017"
"179","ABHD15",2.706075273,"116236"
"180","TMCO3",2.70583231,"55002"
"181","NUDT6",2.693018669,"11162"
"182","SWAP70",2.689872534,"23075"
"183","KDM6A",2.68746835,"7403"
"184","ZNF675",2.687307631,"171392"
"185","SPP1",2.685500675,"6696"
"186","TRIM31",2.677858979,"11074"
"187","LYPD6B",2.663703067,"130576"
"188","CSTF1",2.662291762,"1477"
"189","LYPLA1",2.660319703,"10434"
"190","HNF4G",2.658723135,"3174"
"191","TNFAIP8",2.655261584,"25816"
"192","ABCB1",2.643302093,"5243"
"193","GBP3",2.636645065,"2635"
"194","PYCR2",2.635739548,"29920"
"195","ANXA1",2.634859342,"301"
"196","ACSM2A",2.632062031,"123876"
"197","ACSM2B",2.632062031,"348158"
"198","C2CD4A",2.622541197,"145741"
"199","PCK1",2.614769918,"5105"
"200","ORMDL1",2.610393219,"94101"
"201","AP2S1",2.608057893,"1175"
"202","USP10",2.599651747,"9100"
"203","PLEKHA2",2.594236074,"59339"
"204","MKLN1",2.585354524,"4289"
"205","MED10",2.582441763,"84246"
"206","SCGN",2.580285687,"10590"
"207","SORL1",2.579037054,"6653"
"208","MINDY3",2.567803181,"80013"
"209","COA8",2.564970314,"84334"
"210","ZNF253",2.563012544,"56242"
"211","DAZAP2",2.562641548,"9802"
"212","CILK1",2.558395928,"22858"
"213","HINT3",2.538552346,"135114"
"214","HNRNPF",2.534205269,"3185"
"215","PPP3R1",2.529339374,"5534"
"216","COP1",2.528040801,"64326"
"217","SPTLC1",2.524353761,"10558"
"218","PXK",2.524064437,"54899"
"219","OAS1",2.523844953,"4938"
"220","ENPP5",2.51918959,"59084"
"221","PHF23",2.510945887,"79142"
"222","CD55",2.505672856,"1604"
"223","SLC44A3",2.50343212,"126969"
"224","FYTTD1",2.502620356,"84248"
"225","MDK",2.49874557,"4192"
"226","LIPG",2.491413545,"9388"
"227","XPO7",2.488962767,"23039"
"228","PSMD10",2.487074406,"5716"
"229","WDFY1",2.48565946,"57590"
"230","C8orf88",2.484306415,"100127983"
"231","MYC",2.470039082,"4609"
"232","RORA",2.468989061,"6095"
"233","FZD3",2.461641813,"7976"
"234","YWHAH",2.458314778,"7533"
"235","BIVM",2.456389995,"54841"
"236","ABCF2",2.451159987,"10061"
"237","PIK3CA",2.449383568,"5290"
"238","TK1",2.447046584,"7083"
"239","KCTD3",2.441193302,"51133"
"240","CEP63",2.44000563,"80254"
"241","TNFRSF10A",2.437538355,"8797"
"242","PRSS23",2.434897939,"11098"
"243","IPO11",2.433754604,"51194"
"244","EXOSC4",2.432209239,"54512"
"245","CASK",2.431218792,"8573"
"246","NUS1",2.431149478,"116150"
"247","PLA2G12B",2.428660043,"84647"
"248","FOLH1",2.421614712,"2346"
"249","MRPL38",2.414289913,"64978"
